

-- Schedd: bird-htc-sched13.desy.de : <131.169.223.41:9618?... @ 05/11/21 21:15:27
 ID      OWNER          HELD_SINCE  HOLD_REASON

Total for query: 0 jobs; 0 completed, 0 removed, 0 idle, 0 running, 0 held, 0 suspended 
Total for anstein: 0 jobs; 0 completed, 0 removed, 0 idle, 0 running, 0 held, 0 suspended 
Total for all users: 4117 jobs; 0 completed, 2 removed, 2898 idle, 925 running, 292 held, 0 suspended



-- Schedd: bird-htc-sched14.desy.de : <131.169.223.42:9618?... @ 05/11/21 21:15:27
 ID           OWNER          HELD_SINCE  HOLD_REASON
20343691.2450 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.7687 anstein         5/11 21:09 Error from slot2_35@batch1176.desy.de: STARTER at 131.169.160.174 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7687.out: (errno 2) No such file or directory
20343691.7688 anstein         5/11 21:09 Error from slot2_38@batch1176.desy.de: STARTER at 131.169.160.174 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7688.out: (errno 2) No such file or directory
20343691.7689 anstein         5/11 21:03 Error from slot2_23@batch1182.desy.de: STARTER at 131.169.160.180 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7689.out: (errno 27) File too large
20343691.7695 anstein         5/11 21:09 Error from slot2_19@bird824.desy.de: STARTER at 131.169.164.24 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7695.out: (errno 2) No such file or directory
20343691.7714 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.7720 anstein         5/11 21:00 Memory usage too high (> 3 x requested-memory)
20343691.7722 anstein         5/11 21:00 Memory usage too high (> 3 x requested-memory)
20343691.7741 anstein         5/11 20:59 Error from slot2_14@bird698.desy.de: STARTER at 131.169.163.137 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7741.out: (errno 27) File too large
20343691.7745 anstein         5/11 21:02 Error from slot2_13@bird645.desy.de: STARTER at 131.169.77.165 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7745.out: (errno 27) File too large
20343691.7746 anstein         5/11 21:09 Error from slot2_12@bird575.desy.de: STARTER at 131.169.77.57 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7746.out: (errno 2) No such file or directory
20343691.7747 anstein         5/11 20:59 Error from slot2_7@bird526.desy.de: STARTER at 131.169.77.8 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7747.out: (errno 27) File too large
20343691.7750 anstein         5/11 20:59 Error from slot2_19@bird760.desy.de: STARTER at 131.169.77.206 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7750.out: (errno 27) File too large
20343691.7751 anstein         5/11 20:58 Error from slot2_9@bird549.desy.de: STARTER at 131.169.77.31 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7751.out: (errno 27) File too large
20343691.7760 anstein         5/11 21:09 Error from slot2_2@bird553.desy.de: STARTER at 131.169.77.35 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7760.out: (errno 27) File too large
20343691.7767 anstein         5/11 21:07 Error from slot2_2@bird644.desy.de: STARTER at 131.169.77.164 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7767.out: (errno 27) File too large
20343691.7770 anstein         5/11 20:58 Error from slot2_36@batch1154.desy.de: STARTER at 131.169.162.154 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7770.out: (errno 27) File too large
20343691.7775 anstein         5/11 20:58 Error from slot2_19@batch1074.desy.de: STARTER at 131.169.160.113 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7775.out: (errno 27) File too large
20343691.7784 anstein         5/11 20:58 Error from slot2_24@batch1174.desy.de: STARTER at 131.169.160.172 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7784.out: (errno 27) File too large
20343691.7787 anstein         5/11 20:59 Error from slot2_8@bird828.desy.de: STARTER at 131.169.164.28 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7787.out: (errno 27) File too large
20343691.7793 anstein         5/11 21:06 Error from slot2_1@bird804.desy.de: STARTER at 131.169.164.4 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7793.out: (errno 27) File too large
20343691.7796 anstein         5/11 20:58 Error from slot2_7@bird827.desy.de: STARTER at 131.169.164.27 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7796.out: (errno 27) File too large
20343691.7798 anstein         5/11 20:59 Error from slot2_1@bird813.desy.de: STARTER at 131.169.164.13 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7798.out: (errno 27) File too large
20343691.7807 anstein         5/11 20:57 Error from slot2_38@batch1164.desy.de: STARTER at 131.169.162.164 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7807.out: (errno 27) File too large
20343691.7811 anstein         5/11 20:59 Error from slot2_17@bird831.desy.de: STARTER at 131.169.164.31 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7811.out: (errno 27) File too large
20343691.7819 anstein         5/11 21:05 Error from slot2_4@bird566.desy.de: STARTER at 131.169.77.48 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7819.out: (errno 27) File too large
20343691.7822 anstein         5/11 20:59 Error from slot2_39@batch1058.desy.de: STARTER at 131.169.160.158 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7822.out: (errno 27) File too large
20343691.7826 anstein         5/11 20:58 Error from slot2_21@batch1071.desy.de: STARTER at 131.169.160.110 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7826.out: (errno 27) File too large
20343691.7828 anstein         5/11 20:58 Error from slot2_13@bird820.desy.de: STARTER at 131.169.164.20 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7828.out: (errno 27) File too large
20343691.7834 anstein         5/11 21:09 Error from slot2_2@bird535.desy.de: STARTER at 131.169.77.17 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7834.out: (errno 2) No such file or directory
20343691.7845 anstein         5/11 20:58 Error from slot2_1@bird694.desy.de: STARTER at 131.169.163.133 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7845.out: (errno 27) File too large
20343691.7851 anstein         5/11 21:08 Error from slot2_5@bird533.desy.de: STARTER at 131.169.77.15 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7851.out: (errno 27) File too large
20343691.7857 anstein         5/11 20:59 Error from slot2_8@bird771.desy.de: STARTER at 131.169.77.217 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7857.out: (errno 27) File too large
20343691.7859 anstein         5/11 20:59 Error from slot2_34@batch1063.desy.de: STARTER at 131.169.160.163 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7859.out: (errno 27) File too large
20343691.7861 anstein         5/11 20:59 Error from slot2_5@bird839.desy.de: STARTER at 131.169.164.39 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7861.out: (errno 27) File too large
20343691.7865 anstein         5/11 20:58 Error from slot2_9@batch1052.desy.de: STARTER at 131.169.160.152 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7865.out: (errno 27) File too large
20343691.7874 anstein         5/11 20:58 Error from slot2_10@batch1061.desy.de: STARTER at 131.169.160.161 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7874.out: (errno 27) File too large
20343691.7875 anstein         5/11 20:59 Error from slot2_18@batch1060.desy.de: STARTER at 131.169.160.160 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7875.out: (errno 27) File too large
20343691.7879 anstein         5/11 20:58 Error from slot2_16@batch1187.desy.de: STARTER at 131.169.160.185 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7879.out: (errno 27) File too large
20343691.7880 anstein         5/11 20:57 Error from slot2_19@batch1184.desy.de: STARTER at 131.169.160.190 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7880.out: (errno 27) File too large
20343691.7881 anstein         5/11 20:57 Error from slot2_29@batch1160.desy.de: STARTER at 131.169.162.160 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7881.out: (errno 27) File too large
20343691.7883 anstein         5/11 20:58 Error from slot2_4@batch1056.desy.de: STARTER at 131.169.160.156 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7883.out: (errno 27) File too large
20343691.7892 anstein         5/11 20:58 Error from slot2_22@batch1065.desy.de: STARTER at 131.169.160.165 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7892.out: (errno 27) File too large
20343691.7893 anstein         5/11 20:58 Error from slot2_7@batch1059.desy.de: STARTER at 131.169.160.159 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7893.out: (errno 27) File too large
20343691.7894 anstein         5/11 20:57 Error from slot2_9@batch1171.desy.de: STARTER at 131.169.162.171 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7894.out: (errno 27) File too large
20343691.7900 anstein         5/11 21:09 Error from slot2_10@bird569.desy.de: STARTER at 131.169.77.51 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7900.out: (errno 2) No such file or directory
20343691.7902 anstein         5/11 21:09 Error from slot2_13@bird553.desy.de: STARTER at 131.169.77.35 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7902.out: (errno 27) File too large
20343691.7910 anstein         5/11 21:04 Error from slot2_5@bird531.desy.de: STARTER at 131.169.77.13 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7910.out: (errno 27) File too large
20343691.7911 anstein         5/11 21:09 Error from slot2_13@bird575.desy.de: STARTER at 131.169.77.57 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7911.out: (errno 2) No such file or directory
20343691.7916 anstein         5/11 21:05 Error from slot2_10@bird644.desy.de: STARTER at 131.169.77.164 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7916.out: (errno 27) File too large
20343691.7917 anstein         5/11 21:09 Error from slot2_13@bird579.desy.de: STARTER at 131.169.77.61 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7917.err: (errno 27) File too large
20343691.7923 anstein         5/11 20:59 Error from slot2_10@bird827.desy.de: STARTER at 131.169.164.27 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7923.out: (errno 27) File too large
20343691.7924 anstein         5/11 20:59 Error from slot2_13@bird813.desy.de: STARTER at 131.169.164.13 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7924.out: (errno 27) File too large
20343691.7925 anstein         5/11 20:59 Error from slot2_16@bird820.desy.de: STARTER at 131.169.164.20 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7925.out: (errno 27) File too large
20343691.7926 anstein         5/11 21:09 Error from slot2_3@bird535.desy.de: STARTER at 131.169.77.17 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7926.out: (errno 2) No such file or directory
20343691.7928 anstein         5/11 21:09 Error from slot2_14@bird762.desy.de: STARTER at 131.169.77.208 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7928.out: (errno 2) No such file or directory
20343691.7929 anstein         5/11 20:59 Error from slot2_9@bird694.desy.de: STARTER at 131.169.163.133 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7929.out: (errno 27) File too large
20343691.7933 anstein         5/11 21:09 Error from slot2_14@bird533.desy.de: STARTER at 131.169.77.15 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7933.out: (errno 2) No such file or directory
20343691.7935 anstein         5/11 20:58 Error from slot2_9@bird839.desy.de: STARTER at 131.169.164.39 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7935.out: (errno 27) File too large
20343691.7937 anstein         5/11 20:57 Error from slot2_42@batch1164.desy.de: STARTER at 131.169.162.164 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7937.out: (errno 27) File too large
20343691.7938 anstein         5/11 21:03 Error from slot2_12@bird566.desy.de: STARTER at 131.169.77.48 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7938.out: (errno 27) File too large
20343691.7941 anstein         5/11 20:57 Error from slot2_26@batch1187.desy.de: STARTER at 131.169.160.185 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7941.out: (errno 27) File too large
20343691.7942 anstein         5/11 20:57 Error from slot2_34@batch1160.desy.de: STARTER at 131.169.162.160 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7942.out: (errno 27) File too large
20343691.7943 anstein         5/11 20:58 Error from slot2_35@batch1065.desy.de: STARTER at 131.169.160.165 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7943.out: (errno 27) File too large
20343691.7947 anstein         5/11 21:05 Error from slot2_12@bird804.desy.de: STARTER at 131.169.164.4 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7947.out: (errno 27) File too large
20343691.7949 anstein         5/11 20:58 Error from slot2_42@batch1066.desy.de: STARTER at 131.169.160.166 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7949.out: (errno 27) File too large
20343691.7953 anstein         5/11 21:02 Error from slot2_40@batch1058.desy.de: STARTER at 131.169.160.158 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7953.out: (errno 27) File too large
20343691.7961 anstein         5/11 20:59 Error from slot2_17@bird820.desy.de: STARTER at 131.169.164.20 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7961.out: (errno 27) File too large
20343691.7967 anstein         5/11 21:09 Error from slot2_17@bird762.desy.de: STARTER at 131.169.77.208 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7967.out: (errno 2) No such file or directory
20343691.7968 anstein         5/11 20:59 Error from slot2_12@bird694.desy.de: STARTER at 131.169.163.133 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7968.out: (errno 27) File too large
20343691.7976 anstein         5/11 20:58 Error from slot2_28@batch1052.desy.de: STARTER at 131.169.160.152 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7976.out: (errno 27) File too large
20343691.7977 anstein         5/11 21:09 Error from slot2_8@bird535.desy.de: STARTER at 131.169.77.17 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7977.out: (errno 2) No such file or directory
20343691.7993 anstein         5/11 20:59 Error from slot2_37@batch1052.desy.de: STARTER at 131.169.160.152 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7993.out: (errno 27) File too large
20343691.7996 anstein         5/11 20:59 Error from slot2_15@bird847.desy.de: STARTER at 131.169.164.47 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7996.out: (errno 27) File too large
20343691.7999 anstein         5/11 21:09 Error from slot2_7@bird065.desy.de: STARTER at 131.169.77.127 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.7999.out: (errno 2) No such file or directory
20343691.8006 anstein         5/11 21:05 Error from slot2_11@bird552.desy.de: STARTER at 131.169.77.34 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.8006.out: (errno 27) File too large
20343691.8009 anstein         5/11 20:59 Error from slot2_1@bird564.desy.de: STARTER at 131.169.77.46 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.8009.out: (errno 27) File too large
20343691.8015 anstein         5/11 20:58 Error from slot2_47@batch1152.desy.de: STARTER at 131.169.162.152 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.8015.out: (errno 27) File too large
20343691.8017 anstein         5/11 21:08 Error from slot2_9@bird642.desy.de: STARTER at 131.169.77.162 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.8017.out: (errno 27) File too large
20343691.8018 anstein         5/11 21:09 Error from slot2_4@bird559.desy.de: STARTER at 131.169.77.41 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.8018.out: (errno 2) No such file or directory
20343691.8019 anstein         5/11 20:59 Error from slot2_5@batch1076.desy.de: STARTER at 131.169.160.115 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.8019.out: (errno 27) File too large
20343691.8020 anstein         5/11 21:03 Error from slot2_8@bird648.desy.de: STARTER at 131.169.77.168 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.8020.out: (errno 27) File too large
20343691.8021 anstein         5/11 21:09 Error from slot2_5@bird576.desy.de: STARTER at 131.169.77.58 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.8021.out: (errno 2) No such file or directory
20343691.8023 anstein         5/11 21:09 Error from slot2_4@bird557.desy.de: STARTER at 131.169.77.39 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.8023.out: (errno 2) No such file or directory
